OrderID,OrderDate,CustomerID,ProductID,RegionID,ChannelID,Quantity,UnitPrice,DiscountAmount,CostAmount
100001,2022-01-01,C0028,P002,R1,C1,2,21500.88,2966.62,14080.0
100002,2022-01-01,C0202,P002,R1,C2,5,22900.33,6184.86,35200.0
100003,2022-01-01,C0409,P009,R1,C2,4,28039.65,5708.05,35840.0
100004,2022-01-01,C0380,P010,R1,C1,1,1421.81,125.6,675.0
100005,2022-01-01,C0430,P010,R1,C2,1,1653.18,106.72,675.0
100006,2022-01-01,C0487,P003,R2,C1,3,53577.46,14832.45,49500.0
100007,2022-01-01,C0049,P002,R2,C1,2,23737.53,1629.07,14080.0
100008,2022-01-01,C0005,P004,R2,C1,1,2709.95,37.34,1200.0
100009,2022-01-01,C0266,P001,R2,C1,2,15205.5,1566.45,10500.0
100010,2022-01-01,C0214,P005,R2,C1,3,5961.54,625.35,6840.0
100011,2022-01-01,C0486,P006,R2,C2,4,2564.41,880.37,4000.0
100012,2022-01-01,C0027,P006,R2,C1,1,2513.58,0.0,1000.0
100013,2022-01-01,C0248,P005,R2,C2,5,6670.7,1001.33,11400.0
100014,2022-01-01,C0362,P006,R2,C2,1,2483.37,208.03,1000.0
100015,2022-01-01,C0450,P010,R2,C1,1,1509.39,85.87,675.0
100016,2022-01-01,C0162,P002,R3,C1,1,22998.24,1174.68,7040.0
100017,2022-01-01,C0116,P005,R3,C2,1,5808.64,207.81,2280.0
100018,2022-01-01,C0211,P006,R3,C1,1,2383.97,161.71,1000.0
100019,2022-01-01,C0013,P006,R3,C1,5,2432.26,841.16,5000.0
100020,2022-01-01,C0007,P009,R3,C1,1,29144.85,155.0,8960.0
100021,2022-01-01,C0252,P011,R3,C1,1,498.84,20.0,250.0
100022,2022-01-01,C0423,P010,R3,C2,2,1466.52,163.73,1350.0
100023,2022-01-02,C0331,P005,R1,C1,1,5832.32,357.62,2280.0
100024,2022-01-02,C0333,P009,R1,C2,1,27841.81,368.96,8960.0
100025,2022-01-02,C0102,P011,R1,C1,3,511.59,103.34,750.0
100026,2022-01-02,C0060,P007,R2,C2,3,11793.79,3413.46,12240.0
100027,2022-01-02,C0001,P007,R2,C2,2,12212.26,1010.23,8160.0
100028,2022-01-02,C0079,P012,R2,C2,3,1234.19,234.86,1512.0
100029,2022-01-02,C0226,P003,R3,C1,1,51078.15,3482.76,16500.0
100030,2022-01-02,C0023,P003,R3,C1,1,57311.77,1743.5,16500.0
100031,2022-01-03,C0111,P011,R1,C2,4,523.5,157.85,1000.0
100032,2022-01-03,C0155,P007,R2,C2,2,11474.21,1173.35,8160.0
100033,2022-01-04,C0242,P004,R1,C2,2,3008.94,184.1,2400.0
100034,2022-01-04,C0263,P001,R1,C1,3,15085.9,3552.93,15750.0
100035,2022-01-04,C0015,P006,R1,C2,1,2418.57,85.82,1000.0
100036,2022-01-04,C0135,P007,R1,C2,2,11662.2,1108.95,8160.0
100037,2022-01-04,C0160,P006,R2,C1,1,2328.79,83.31,1000.0
100038,2022-01-04,C0354,P004,R3,C1,3,3131.07,686.11,3600.0
100039,2022-01-04,C0423,P012,R3,C2,4,1239.14,13.42,2016.0
100040,2022-01-05,C0063,P002,R1,C2,1,23822.69,90.23,7040.0
100041,2022-01-05,C0006,P006,R1,C1,1,2388.27,109.42,1000.0
100042,2022-01-05,C0191,P012,R1,C1,1,1122.32,95.2,504.0
100043,2022-01-05,C0134,P002,R2,C1,1,22084.5,254.2,7040.0
100044,2022-01-05,C0056,P007,R2,C1,2,12508.25,2168.31,8160.0
100045,2022-01-05,C0133,P011,R2,C2,1,491.96,17.94,250.0
100046,2022-01-05,C0433,P006,R3,C1,1,2714.47,198.58,1000.0
100047,2022-01-06,C0122,P002,R1,C1,1,24297.21,1113.11,7040.0
100048,2022-01-06,C0346,P003,R2,C1,1,57950.99,2612.5,16500.0
100049,2022-01-06,C0335,P009,R2,C2,3,27437.15,4804.59,26880.0
100050,2022-01-06,C0278,P007,R2,C1,2,11346.24,2245.05,8160.0
100051,2022-01-06,C0210,P009,R2,C1,1,25741.14,2006.01,8960.0
100052,2022-01-06,C0462,P011,R2,C2,3,529.74,20.93,750.0
100053,2022-01-06,C0248,P011,R2,C2,1,463.27,10.67,250.0
100054,2022-01-06,C0278,P011,R2,C2,2,449.51,73.85,500.0
100055,2022-01-06,C0419,P004,R3,C1,1,3067.66,56.84,1200.0
100056,2022-01-06,C0354,P005,R3,C2,4,5510.8,1215.22,9120.0
100057,2022-01-07,C0400,P002,R1,C2,1,20694.63,1985.07,7040.0
100058,2022-01-07,C0161,P003,R1,C1,1,56269.67,6775.51,16500.0
100059,2022-01-07,C0327,P005,R1,C2,1,6094.86,292.6,2280.0
100060,2022-01-07,C0203,P006,R1,C1,1,2541.16,157.16,1000.0
100061,2022-01-07,C0110,P003,R2,C1,3,52245.14,8158.73,49500.0
100062,2022-01-07,C0395,P009,R2,C1,2,29035.65,2461.5,17920.0
100063,2022-01-07,C0280,P012,R2,C2,1,1309.17,32.93,504.0
100064,2022-01-07,C0286,P006,R3,C2,1,2808.51,0.0,1000.0
100065,2022-01-08,C0173,P008,R1,C2,1,35725.45,958.55,10500.0
100066,2022-01-08,C0068,P003,R2,C1,2,55465.09,6383.71,33000.0
100067,2022-01-08,C0220,P008,R2,C2,1,37167.46,1618.72,10500.0
